edge_mask_avg_max_init,edge_mask_connected_init,edge_mask_entropy_init,edge_mask_size_init,edge_mask_sparsity_init,explainer,fidelity_acc+,fidelity_acc-,fidelity_acc_cs,fidelity_prob+,fidelity_prob-,fidelity_prob_cs,num_test_final,number_of_edges,topk,topk_values,train_model_single,unfaithfulness,消融内容
0.543633523,0.143713925,3.403215977,38.2,0.988784498,hetegnnexplainer,0.6,0.1,0.72,0.2585,0.0812,0.403515244,10,3406,15,15,hat,0.029,没做消融
0.607215436,0.143713925,3.432620629,38.2,0.988784498,hetegnnexplainer,0.4,0.1,0.553846154,0.1668,0.1092,0.281019833,10,3406,15,15,hat,0.048,去掉异质边的信息
0.542364551,0.143713925,3.423687804,38.2,0.988784498,hetegnnexplainer,0.3,0,0.461538462,0.1586,0.0793,0.27054965,10,3406,15,15,hat,0.0373,去掉特征扰动的处理
0.581588179,0.143713925,3.432866387,38.2,0.988784498,hetegnnexplainer,0.4,0,0.571428571,0.1784,0.0576,0.30006784,10,3406,15,15,hat,0.0239,去掉特征扰动的处理（individual_feature）
0.581588179,0.143713925,3.432866387,38.2,0.988784498,hetegnnexplainer,0.4,0,0.571428571,0.1784,0.0576,0.30006784,10,3406,15,15,hat,0.0239,
0.512375401,0.143713925,3.424693349,38.2,0.988784498,hetegnnexplainer,0.1,0.3,0.175,0.1214,0.174,0.211762088,10,3406,15,15,hat,0.1556,
0.607215436,0.143713925,3.432620629,38.2,0.988784498,hetegnnexplainer,0.4,0.1,0.553846154,0.1668,0.1092,0.281019833,10,3406,15,15,hat,0.048,
0.543633523,0.143713925,3.403215977,38.2,0.988784498,hetegnnexplainer,0.6,0.1,0.72,0.2585,0.0812,0.403515244,10,3406,15,15,hat,0.029,
1,,,,,,,,,,,,,,,,,,
0.079709019,0.143713925,2.877504007,38.2,0.988784498,hetegnnexplainer,0.3,0,0.461538462,0.2271,0.0576,0.365992611,10,3406,15,15,hat,0.0308,去掉特征扰动的处理
0.079709019,0.143713925,2.877504007,38.2,0.988784498,hetegnnexplainer,0.3,0,0.461538462,0.2271,0.0576,0.365992611,10,3406,15,15,hat,0.0308,去掉异质边的信息
0.440829955,0.143713925,3.427183688,38.2,0.988784498,hetegnnexplainer,0.3,0.1,0.45,0.21,0.141,0.337471496,10,3406,15,15,hat,0.0957,
2,,,,,,,,,,,,,,,,,,
0.542364551,0.143713925,3.423687804,38.2,0.988784498,hetegnnexplainer,0.3,0,0.461538462,0.2109,0.0856,0.342761785,10,3406,15,15,hat,0.0364,去掉特征和边扰动的处理
0.511935633,0.143713925,3.406156026,38.2,0.988784498,hetegnnexplainer,0.3,0.1,0.45,0.1586,0.0597,0.271360105,10,3406,15,15,hat,0.033,去掉异质边的信息
0.440829955,0.143713925,3.427183688,38.2,0.988784498,hetegnnexplainer,0.4,0,0.571428571,0.1944,0.1081,0.319284552,10,3406,15,15,hat,0.0492,
3,,,,,,,,,,,,,,,,,,
0.542364551,0.143713925,3.423687804,38.2,0.988784498,hetegnnexplainer,0.3,0,0.461538462,0.2109,0.0856,0.342761785,10,3406,15,15,hat,0.0564,去掉特征和边扰动的处理
0.511935633,0.143713925,3.406156026,38.2,0.988784498,hetegnnexplainer,0.3,0.1,0.45,0.1586,0.0597,0.271360105,10,3406,15,15,hat,0.053,去掉异质边的信息
0.440829955,0.143713925,3.427183688,38.2,0.988784498,hetegnnexplainer,0.4,0,0.571428571,0.1944,0.1081,0.319284552,10,3406,15,15,hat,0.0492,
